INCIDENT #,CONTAINED,COUNTY,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
HUU-81,,HUMBOLDT,RED,01/04/14,01/12/14,CAL FIRE,333,,333,TB,DEBRIS BURNING,,,,
RRU-27677,,RIVERSIDE,PIERCE,03/15/14,03/16/14,LOCAL,,350,350,BG,ARSON,,,,
MVU-10055,,SAN DIEGO,BERNARDO,05/13/14,05/21/14,LOCAL,,1548,1548,BG,EQUIPMENT USE,,,,
MVU-10242,,SAN DIEGO,SAN DIEGO COMPLEX,05/14/14,05/22/14,CAL FIRE,1238,1200,2438,B,UNDETERMINED,48,5,,
MMU-8974,,MARIPOSA,HUNTER,05/26/14,06/04/14,CAL FIRE,677,,677,B,UNDETERMINED,3,,,
TCU-4987,,TUOLUMNE,59,06/04/14,06/09/14,CAL FIRE,402,,402,G,VEHICLE,,,,
MMU-10597,,MERCED,GUN CLUB,06/19/14,06/19/14,CAL FIRE,400,,400,G,DEBRIS BURNING,,,,
LNU-5333,,NAPA,BUTTS,07/01/14,07/10/14,CAL FIRE,4300,,4300,G,EQUIPMENT USE,9,,,
LNU-5465,,YOLO,MONTICELLO,07/04/14,07/13/14,CAL FIRE,6488,,6488,G,HUMAN,,,,
SHU-6248,,SHASTA,BULLY,07/11/14,07/23/14,CAL FIRE,7796,4865,12661,G,VEHICLE,18,1,,1
MMU-12965,,MERCED,GUN CLUB,07/24/14,08/02/14,CAL FIRE,422,,422,G,HUMAN,,,,
AEU-18237,,EL DORADO,SAND,07/25/14,08/03/14,CAL FIRE,4240,,4240,T,VEHICLE,47,,,
MMU-13131,,MERCED,KELLEY,07/26/14,07/26/14,CAL FIRE,1000,,1000,GW,UNDETERMINED,,,,
BTU-10700,,BUTTE,WEB,07/29/14,08/27/14,CAL FIRE,378,,378,TB,EQUIPMENT USE,,,,
LMU-3472,,MODOC,DAY,07/30/14,08/13/14,CAL FIRE,13153,,13153,TB,LIGHTNING,10,,,
MEU-7202,,MENDOCINO,LODGE COMPLEX,07/30/14,09/21/14,CAL FIRE,3650,8885,12535,T,LIGHTNING,,,,
LNU-6737,,YOLO,THIRTY ONE 2,08/09/14,08/09/14,CAL FIRE,370,,370,G,VEHICLE,,,,
MMU-14633,,MADERA,JUNCTION,08/18/14,08/25/14,CAL FIRE,612,,612,B,UNDETERMINED,47,6,,
SHU-7763,,TRINITY,OREGON,08/24/14,08/30/14,CAL FIRE,461,,461,BG,VEHICLE,1,,,
SHU-8322,,SHASTA,GULCH,09/10/14,09/15/14,CAL FIRE,1300,,1300,B,VEHICLE,4,,,
MEU-8882,,MENDOCINO,BLACK,09/13/14,09/17/14,CAL FIRE,403,,403,B,EQUIPMENT USE,11,,,
MMU-16429,,MADERA,COURTNEY,09/14/14,09/22/14,CAL FIRE,320,,320,B,UNDETERMINED,49,7,,
BTU-13428,,BUTTE,NELSON,09/18/14,09/21/14,CAL FIRE,500,,500,G,ELECTRICAL POWER,,,,
NEU-23454,,PLACER,APPLEGATE,10/08/14,10/22/14,CAL FIRE,459,,459,TB,UNDETERMINED,10,,,
LNF-27,,TEHAMA,CAMPBELL,01/02/14,01/10/14,USFS,,865,865,TB,HUMAN,,,,
SQF-120,,TULARE,SODA,01/14/14,04/19/14,USFS,,1612,1612,T,UNDETERMINED,,,,
ANF-231,,LOS ANGELES,COLBY,01/16/14,01/24/14,USFS,,1952,1952,BG,UNDETERMINED,15,8,,
BDF-6646,,SAN BERNARDINO,ETIWANDA,04/30/14,05/01/14,USFS,1012,1188,2200,BG,HUMAN,,,,
SBC-5573,,SANTA BARBARA,MIGUELITO,05/13/14,05/16/14,LOCAL,,632,632,B,UNDETERMINED,,,,
CBD-3777,,SAN DIEGO,POINSETTIA,05/14/14,05/17/14,LOCAL,,600,600,B,UNDETERMINED,28,,,
MCP-1363,,SAN DIEGO,BASILONE COMPLEX,05/17/14,05/19/14,MIL,,21240,21240,BG,UNDETERMINED,,1,,
SQF-1850,,KERN,SHIRLEY,06/13/14,06/21/14,USFS,,2545,2545,TG,UNDETERMINED,4,,,
FHL-1693,,MONTEREY,STONY,06/19/14,06/22/14,MIL,,4840,4840,TG,HUMAN,,,,
FHL-1818,,MONTEREY,LOOP,06/30/14,06/30/14,MIL,,500,500,BG,UNDETERMINED,,,,
MDF-344,,MODOC,MODOC JULY COMPLEX,07/01/14,07/07/14,USFS,,2566,2566,B,LIGHTNING,,,,
SQF-2381,,KERN,NICOLLS,07/11/14,07/19/14,USFS,,1680,1680,T,UNDETERMINED,,,,
YNP-57,,MARIPOSA,DARK HOLE,07/16/14,08/20/14,NPS,,1077,1077,TB,LIGHTNING,,,,
YNP-83,,MARIPOSA,EL PORTAL,07/26/14,08/04/14,NPS,,4689,4689,B,UNDETERMINED,2,2,,
SNF-1619,,MADERA,FRENCH,07/28/14,08/18/14,USFS,,13838,13838,TB,HUMAN,,,,
LNF-3479,,SHASTA,BALD,07/30/14,08/16/14,USFS,,39736,39736,B,LIGHTNING,,,,
SHF-2423,,TRINITY,COFFEE COMPLEX,07/30/14,08/31/14,USFS,,6258,6258,TB,LIGHTNING,,,,
KNF-5497,,SISKIYOU,KNF BEAVER,07/30/14,08/30/14,USFS,,32496,32496,T,LIGHTNING,6,,,
KNF-5575,,SISKIYOU,LITTLE DEER,07/31/14,08/11/14,USFS,,5503,5503,TB,LIGHTNING,1,,,
LNF-3502,,SHASTA,EILER,07/31/14,08/24/14,USFS,,32416,32416,TB,UNDETERMINED,21,,,
KNF-5564,,SISKIYOU,JULY COMPLEX,08/03/14,09/25/14,USFS,,50042,50042,T,LIGHTNING,2,,,
KNF-5956,,SISKIYOU,HAPPY CAMP COMPLEX,08/14/14,10/31/14,USFS,,134056,134056,T,LIGHTNING,6,2,,
YNP-101,,MARIPOSA,MEADOW,08/15/14,09/29/14,NPS,,4772,4772,TB,UNDETERMINED,,,,
CND-3148,,KERN,WAY,08/18/14,08/28/14,USFS.,,4045,4045,TB,UNDETERMINED,12,4,,
CNF-2873,,ORANGE,SILVERADO,09/12/14,09/20/14,USFS,,985,985,B,UNDETERMINED,,,,
ENF-23461,,EL DORADO,KING,09/13/14,10/09/14,USFS,2823,94894,97717,TB,HUMAN,80,1,,
SWR-1266,,GLENN,TRACT 17,09/17/14,09/19/14,FWS,,395,395,G,HUMAN,,,,
YNP-124,,MARIPOSA,DOG ROCK,10/07/14,10/12/14,NPS,,311,311,B,UNDETERMINED,,,1,
